<<<<<<< HEAD
1992-01-01 00:00:00  150  14.  33
2001-01-01 00:00:00  150  14.  33
2001-12-01 00:00:00  20  14.  33
2002-01-01 00:00:00  10   4.  33
2002-07-01 00:00:00  270  18.  33
2003-01-01 00:00:00  10   4.  33
2003-07-01 00:00:00  270  15.  33
2004-01-01 00:00:00  10   4.  33
2004-07-01 00:00:00  270  15.  33
2005-01-01 00:00:00  10   4.  33
=======
1992-01-01 00:00:00  180  14.  33
2001-01-01 00:00:00  180  14.  33
2002-01-01 00:00:00  40    4.  33
2002-07-01 00:00:00  290  18.  33
2003-01-01 00:00:00  60   4.  33
2003-07-01 00:00:00  290  18.  33
2004-01-01 00:00:00  60   4.  33
2004-07-01 00:00:00  290  15.  33
2005-01-01 00:00:00  60   4.  33
>>>>>>> 4debeb6 (num calc for Q change w 2 hacks)
2005-07-01 00:00:00  270  15.  33
2006-01-01 00:00:00  20   4.  33
2006-07-01 00:00:00  270  15.  33
2007-01-01 00:00:00  10   4.  33
2007-07-01 00:00:00  270  15.  33
